"","Male","Bachelor","relfreq","religionlink","regionlink","moreno","province","ownchtrust","religion"
"414",0,1,3,2,3,3,"Ontario",99,"Buddhist"
"415",0,0,4,4,4,3,"Alberta",99,"Other"
"416",0,0,1,2,4,3,"Alberta",9,"Catholic"
"417",0,1,99,2,3,3,"Alberta",99,"Non-religious"
"418",1,0,3,3,2,4,"Alberta",99,"Other Christian"
"419",0,0,4,4,4,2,"Alberta",99,"Other Christian"
"420",1,0,99,2,3,3,"Alberta",99,"Non-religious"
"421",1,0,1,1,3,3,"Alberta",1,"Catholic"
"422",0,0,99,2,3,3,"Alberta",99,"Non-religious"
"423",1,1,99,3,3,2,"Alberta",99,"Non-religious"
"424",0,1,99,3,4,3,"Alberta",99,"Non-religious"
"425",0,0,2,1,1,3,"Alberta",6,"United Church"
"426",1,0,99,4,4,4,"Alberta",99,"Non-religious"
"427",0,0,99,1,3,3,"Alberta",99,"Non-religious"
"428",1,1,1,1,3,3,"Alberta",99,"Anglican"
"429",0,0,4,4,3,3,"Alberta",99,"Other Christian"
"430",0,0,4,4,4,3,"Alberta",99,"Other Christian"
"431",0,0,2,1,3,3,"Alberta",2,"United Church"
"432",1,1,99,1,1,3,"Alberta",99,"Non-religious"
"433",0,0,99,3,3,3,"Alberta",99,"Non-religious"
"434",1,1,2,3,3,1,"Alberta",8,"Catholic"
"436",0,1,99,2,2,1,"Alberta",99,"Non-religious"
"437",1,0,2,1,4,3,"Alberta",7,"United Church"
"438",0,1,4,4,4,3,"Alberta",99,"Other Christian"
"439",1,0,3,4,3,5,"Alberta",6,"Catholic"
"440",0,0,4,2,2,3,"Alberta",5,"Catholic"
"441",0,0,2,2,4,4,"Alberta",5,"Catholic"
"442",0,0,2,3,3,4,"Alberta",99,"Other Christian"
"443",1,1,2,2,4,3,"Alberta",9,"Catholic"
"444",0,0,1,3,4,3,"Alberta",99,"Other Christian"
"445",0,0,1,2,4,3,"Alberta",99,"Other Christian"
"446",0,0,2,3,3,3,"Alberta",5,"Catholic"
"447",0,1,99,2,3,2,"Alberta",99,"Non-religious"
"448",0,0,4,3,4,3,"Alberta",5,"Catholic"
