"election_id","country","year","party_name","vote_share","seats","seats_total","left_right","state_market","liberty_authority","halfdecade","party_family"
32,"Bulgaria",1991,"Agrarian People's Union",3.86,0,240,5.5263,5.7895,5.9398,"(1989,1994]","Agrarian"
32,"Bulgaria",1991,"Bulgarian National Radical Party",1.13,0,240,8.8,5.9,8.5,"(1989,1994]","Right-wing"
32,"Bulgaria",1991,"Union of Democratic Forces",34.36,110,240,6.1111,5.7,7.2,"(1989,1994]","Christian democracy"
32,"Bulgaria",1991,"Bulgarian Business Bloc",1.32,0,240,6.6784,7.076,5.1974,"(1989,1994]","Liberal"
32,"Bulgaria",1991,"Kingdom of Bulgaria Confederation",1.82,0,240,NA,NA,NA,"(1989,1994]","Special issue"
32,"Bulgaria",1991,"Coalition for Bulgaria | Democratic Left",33.14,106,240,2.8982,2.9629,5.741,"(1989,1994]","Social democracy"
32,"Bulgaria",1991,"Movement for Rights and Freedoms",7.55,24,240,4.5828,4.413,6.229,"(1989,1994]","Liberal"
32,"Bulgaria",1991,"Bulgarian Agrarian National Union -- ""Nikola Petkov""",3.44,0,240,5.3,4.9,6.5,"(1989,1994]","Agrarian"
32,"Bulgaria",1991,"Union of Democratic Forces -- Centre",3.2,0,240,3.3,3.5,3.5,"(1989,1994]","Social democracy"
32,"Bulgaria",1991,"Union of Democratic Forces -- Liberal",2.81,0,240,6,6.7,3.5,"(1989,1994]","Liberal"
33,"Sweden",1998,"Christian Democrats",11.76,42,349,7.195,6.7938,7.9997,"(1994,1999]","Christian democracy"
33,"Sweden",1998,"Swedish Senior Citizen Interest Party",1,0,349,NA,NA,NA,"(1994,1999]","Special issue"
33,"Sweden",1998,"Moderate Party",22.9,82,349,7.8907,8.4089,5.6977,"(1994,1999]","Conservative"
33,"Sweden",1998,"Left Party (Communists)",11.99,43,349,1.5464,1.4121,2.4562,"(1994,1999]","Communist/Socialist"
33,"Sweden",1998,"People's Party",4.71,17,349,6.2906,7.3062,2.8515,"(1994,1999]","Liberal"
33,"Sweden",1998,"Social Democrats",36.38,131,349,3.4447,3.5655,4.4407,"(1994,1999]","Social democracy"
33,"Sweden",1998,"Greens",4.49,16,349,3.3789,3.3866,2.5198,"(1994,1999]","Green/Ecologist"
33,"Sweden",1998,"Centre Party",5.12,18,349,5.8084,5.9903,6.0583,"(1994,1999]","Agrarian"
34,"Ireland",1994,"Fianna Fail",35,7,15,6.0713,5.8991,6.9898,"(1989,1994]","Conservative"
34,"Ireland",1994,"Labour Party",10.99,1,15,3.6252,3.353,3.1071,"(1989,1994]","Social democracy"
